Directorio,Title,Slug
2013-02-15-partes-de-un-grafico,'Partes de un Gráfico en Excel.',automatizacion-con-excel/partes-de-un-grafico
2013-02-18-la-funcion-abs-en-excel,'La función ABS en Excel. Diccionario de Funciones.',automatizacion-con-excel/funcion-abs
2013-02-19-las-tablas-dinamicas-que-son-y-para-que-sirven,'Las Tablas Dinámicas: Qué son y para qué sirven.',automatizacion-con-excel/tablas-dinamicas
2013-02-20-crear-una-tabla-dinamica,'¿Cómo crear una Tabla Dinámica en Excel?',automatizacion-con-excel/crear-una-tabla-dinamica
2013-02-21-tabla-dinamica-anatomia,'Las partes de una Tabla Dinámica.',automatizacion-con-excel/partes-tabla-dinamica
2013-02-21-tablas-dinamicas-funcionamiento,'Entendiendo a las Tablas Dinámicas.',automatizacion-con-excel/entendiendo-tablas-dinamicas
2013-02-27-la-funcion-coincidir-diccionario-de-funciones,'La Función COINCIDIR &#8211; Diccionario de funciones.',automatizacion-con-excel/funcion-coincidir
2013-03-02-ficha-programador,'Cómo mostrar la ficha Programador [Vídeo]',automatizacion-con-excel/ficha-programador
2013-03-04-maximo-y-minimo-en-grafico,'Cómo marcar el máximo y mínimo en un Gráfico.',automatizacion-con-excel/maximo-y-minimo
2013-03-06-como-grabar-macros,'Cómo grabar macros: Tu primera macro en Excel.',automatizacion-con-excel/como-grabar-macros
2013-03-11-tablas-dinamicas-campos-calculados,'Crear columnas calculadas en tus tablas dinámicas.',automatizacion-con-excel/columnas-calculadas-en-tablas-dinamicas
2013-03-18-como-crear-formularios-en-excel-2010,'Cómo crear formularios en Excel 2010',automatizacion-con-excel/como-crear-formularios-en-excel-2010
2013-03-21-crear-tablas-en-excel-y-eliminarlas,'Crear Tablas en Excel (y borrarlas).',automatizacion-con-excel/tablas-en-excel
2013-03-21-cual-es-tu-problema-con-excel,'¿Cuál es tu problema con Excel?',automatizacion-con-excel/cual-es-tu-problema-con-excel
2013-03-22-tabla-dinamica-formato,'Dar formato a una Tabla Dinámica.',automatizacion-con-excel/formato-tabla-dinamica
2013-03-25-escribe-tu-primera-macro-en-excel,'Escribe tu primera Macro en Excel.',automatizacion-con-excel/macro-en-excel
2013-03-27-la-funcion-mayusc,'La Función MAYUSC en Excel',automatizacion-con-excel/funcion-mayusc
2013-03-29-guardar-como-pdf-excel-201,'Guardar como PDF en Excel 2010',automatizacion-con-excel/guardar-como-pdf
2013-04-01-crear-un-diagrama-de-gantt-en-excel,'Crear un Diagrama de Gantt en Excel.',automatizacion-con-excel/diagrama-de-gantt-en-excel
2013-04-03-la-funcion-nompropio-en-excel,'La función NOMPROPIO en Excel',automatizacion-con-excel/funcion-nompropio
2013-04-08-eliminar-registros-que-tengan-un-valor-determinado,'Cómo eliminar registros que contengan una palabra determinada.',automatizacion-con-excel/eliminar-registros
2013-04-09-la-funcion-minusc,'La función MINUSC',automatizacion-con-excel/funcion-minusc
2013-04-28-funcion-hallar,'Función Hallar',automatizacion-con-excel/funcion-hallar
2013-05-08-contar-filas-en-excel,"'Cómo contar filas en Excel, dentro de tu tabla'",automatizacion-con-excel/contar-filas-en-excel
2013-05-10-funcion-cociente,'Función COCIENTE',automatizacion-con-excel/funcion-cociente
2013-05-13-mensaje-en-excel,'#03 Mostrar un mensaje en Excel con VBA (Macros)',automatizacion-con-excel/mensaje-en-excel
2013-05-15-refrescar-todas-las-pivot-table,'Cómo refrescar todas las Tablas Dinámicas al mismo tiempo.',automatizacion-con-excel/refrescar-todas-las-tablas-dinamicas
2013-05-17-filtrar-las-celdas-que-tienen-formulas,'¿Cómo filtrar las celdas que tienen fórmulas?',automatizacion-con-excel/filtrar-celdas-con-formulas
2013-05-22-7-razones-para-aprender-excel,'7 Razones por las que Deberías Aprender Excel',automatizacion-con-excel/7-razones-para-aprender-excel
2013-05-23-como-cerrar-excel-desde-una-macro,'Cómo cerrar Excel desde una macro? (con un clic de ratón)',automatizacion-con-excel/cerrar-excel-desde-una-macro
2013-06-07-como-insertar-hipervinculos-en-excel,'¿Cómo insertar hipervínculos en Excel?',automatizacion-con-excel/insertar-hipervinculos-en-excel
2013-06-12-como-proteger-un-rango-de-celdas-en-una-hoja-de-excel,"'Cómo proteger un rango de celdas, en una hoja de Excel.'",automatizacion-con-excel/proteger-un-rango-de-celdas
2013-06-13-como-impedir-la-impresion-en-excel,'Cómo impedir la impresión en Excel.',automatizacion-con-excel/impedir-la-impresion-en-excel
2013-06-14-extraer-el-ano-mes-o-dia-de-una-fecha-en-excel,"'Extraer el año, mes o día de una fecha en Excel.'",automatizacion-con-excel/fecha-en-excel
2013-06-17-formulas-en-excel-7-principios,'7 Principios básicos para trabajar con fórmulas en Excel',automatizacion-con-excel/formulas-en-excel
2013-06-19-como-eliminar-los-datos-antiguos-de-tu-tabla-dinamica,'Cómo eliminar los datos antiguos de tu tabla dinámica.',automatizacion-con-excel/eliminar-datos-tabla-dinamica
2013-06-21-entendiendo-el-formato-personalizado,'Entendiendo el formato personalizado',automatizacion-con-excel/formato-personalizado
2013-06-24-como-limitar-el-area-de-trabajo-en-excel,'Cómo limitar el área de trabajo en Excel',automatizacion-con-excel/area-de-trabajo-en-excel
2013-06-26-la-funcion-desref,'Entendiendo la función DESREF',automatizacion-con-excel/funcion-desref
2013-06-29-cambiar-la-escala-del-eje-horizontal,'Cambiar la escala del eje horizontal en tu gráfico.',automatizacion-con-excel/escala-del-eje-horizontal
2013-07-04-colocar-un-rango-en-un-array-matriz,'3 formas de Colocar un Rango en un Array (matriz)',automatizacion-con-excel/rango-en-un-array
2013-07-18-abrir-un-archivo-con-macros,"'Cómo abrir un archivo, con macros en Excel.'",automatizacion-con-excel/abrir-un-archivo-con-macros
2013-07-22-como-crear-un-grafico-en-excel,'Cómo crear un Gráfico en Excel',automatizacion-con-excel/grafico-en-excel
2013-07-29-como-obtener-el-valor-de-la-celda-activa-usando-macros,"'Cómo obtener el valor de la celda activa, usando macros.'",automatizacion-con-excel/obtener-el-valor-de-la-celda-activa
2013-07-30-la-barra-de-estado-en-excel,'La barra de estado en Excel',automatizacion-con-excel/la-barra-de-estado
2013-07-31-como-crear-nuevas-hojas-en-excel,'Cómo crear nuevas hojas en Excel',automatizacion-con-excel/hojas-en-excel
2013-08-01-como-insertar-un-modulo-en-excel,'Cómo insertar un módulo en Excel',automatizacion-con-excel/insertar-un-modulo-en-excel
2013-08-02-ejecutar-una-macro-periodicamente,'Cómo ejecutar una macro periódicamente (cada cierto tiempo)',automatizacion-con-excel/ejecutar-una-macro-periodicamente
2013-08-05-como-agregar-un-eje-secundario-en-excel,'Cómo agregar un Eje Secundario en Excel',automatizacion-con-excel/eje-secundario-en-excel
2013-08-06-como-introducir-datos-a-una-hoja-de-excel,'Cómo introducir datos a una hoja de Excel',automatizacion-con-excel/introducir-datos-a-una-hoja-de-excel
2013-08-20-como-encontrar-el-minimo-con-excel,'Cómo encontrar el mínimo con Excel',automatizacion-con-excel/encontrar-el-minimo-con-excel
2013-08-23-usando-la-opcion-texto-en-columna,'Usando la opción Texto en Columna',automatizacion-con-excel/texto-en-columna
2013-09-02-tipos-de-graficos-en-excel,'Tipos de gráficos en Excel',automatizacion-con-excel/tipos-de-graficos-en-excel
2013-09-09-crear-un-grafico-de-columnas-en-excel,'Crear un gráfico de Columnas en Excel',automatizacion-con-excel/crear-un-grafico-de-columnas
2013-09-11-como-agregar-un-titulo-al-grafico,'Cómo agregar un título al gráfico.',automatizacion-con-excel/agregar-un-titulo-al-grafico
2013-09-18-11-atajos-de-teclado-para-excel,'11 Atajos de teclado para excel: sobrevivir sin el ratón',automatizacion-con-excel/atajos-de-teclado-para-excel
2013-09-23-como-filtrar-valores-unicos,'Cómo filtrar valores únicos.',automatizacion-con-excel/filtrar-valores-unicos
2013-09-25-agregar-datos-graficos-de-excel,'Cómo agregar datos a tus gráficos rápidamente.',automatizacion-con-excel/graficos-de-excel
2013-09-30-10-tips-excel-para-mejorar-tus-archivos,'10 consejos para archivos &#8216;a prueba de accidentes&#8217;',automatizacion-con-excel/accidentes-en-excel
2013-10-14-llegamos-los-1000-suscriptores,'¡Llegamos a los 1000 suscriptores!',automatizacion-con-excel/1000-suscriptores
2013-10-21-graficar-en-excel-una-manera-distinta,'Graficar en Excel: Gráfico en Forma de Cigarrillo',automatizacion-con-excel/graficar-en-excel
2013-11-06-referencias-absolutas-y-relativas,'Referencias absolutas y relativas.',automatizacion-con-excel/referencias-absolutas-y-relativas
2013-11-18-formas-de-evitar-la-creacion-automatica-de-hipervinculos-en-excel,'6 Formas de evitar la creación automática de hipervínculos en Excel',automatizacion-con-excel/creacion-automatica-de-hipervinculos
2013-11-20-los-diez-atajos-de-teclado-para-vba,"'Los diez atajos de teclado para VBA, que te acompañarán desde ahora.'",automatizacion-con-excel/atajos-de-teclado-vba
2013-11-29-como-auto-numerar-registros-en-excel,'Cómo auto-numerar registros en Excel',automatizacion-con-excel/auto-numerar-registros-en-excel
2013-12-01-como-crear-graficos-en-excel,"'¿Cómo crear gráficos en Excel, sin hacer horas extra?'",automatizacion-con-excel/como-crear-graficos-en-excel
2013-12-04-la-funcion-med,'La función MED () en Excel ¿Cómo se usa?',automatizacion-con-excel/la-funcion-med
2013-12-11-la-funcion-concatenar-en-excel,'La función Concatenar en Excel',automatizacion-con-excel/concatenar-en-excel
2013-12-13-las-visitas-siguen-subiendo-y-los-tutoriales-de-excel-tambien,'Las visitas siguen subiendo',automatizacion-con-excel/tutoriales-de-excel
2013-12-14-curso-macros-en-excel,"'Las Macros en Excel, paso a paso.'",automatizacion-con-excel/macros-en-excel-desde-cero
2013-12-18-que-son-las-fechas-para-excel,'¿Qué son las fechas para Excel?',automatizacion-con-excel/que-son-las-fechas
2014-01-03-duplicados-excel-como-detectarlos,'Duplicados en Excel: ¿Cómo detectarlos de un vistazo?',automatizacion-con-excel/duplicados-en-excel
2014-01-13-como-detectar-el-cambio-en-una-celda-de-excel,'Cómo detectar el cambio en una celda de Excel.',automatizacion-con-excel/detectar-el-cambio-en-una-celda
2014-01-22-como-marcar-una-celda-con-un-clic-usando-vba,"'Cómo marcar una celda con un clic, usando VBA.'",automatizacion-con-excel/como-marcar-una-celda
2014-01-24-consejos-rapidos-como-hacer-clic-derecho-en-excel-sin-tener-un-raton-la-mano,"'Consejos Rápidos: Cómo hacer clic derecho en Excel, sin tener un ratón a la mano.'",automatizacion-con-excel/como-hacer-clic-derecho-en-excel
2014-03-07-como-puedo-aprender-excel,'¿Cómo puedo aprender Excel?',automatizacion-con-excel/como-aprender-excel
2014-03-14-como-contar-el-numero-de-celdas-por-su-color,"'Cómo contar el número de celdas por su color, en tu archivo de Excel [CR]'",automatizacion-con-excel/contar-celdas-por-su-color
2014-03-17-al-fin-puedes-desbloquear,'¡Al fin! Ya Puedes Desbloquear tu hoja Excel.',automatizacion-con-excel/desbloquear
2014-03-21-proteger-una-hoja-de-excel-usando-macros,'Cómo Proteger una Hoja de Excel usando Macros',automatizacion-con-excel/proteger-hoja-con-macros
2014-03-22-la-funcion-concatenar,'La función CONCATENAR',automatizacion-con-excel/funcion-concatenar
2014-03-24-crear-un-indice-de-tus-hojas-en-un-libro-excel,'Crear un índice de tus hojas en un libro Excel',automatizacion-con-excel/crear-un-indice
2014-03-26-como-escribir-en-una-celda-usando-macros-vba,"'Cómo escribir en una celda, usando Macros (VBA)'",automatizacion-con-excel/escribir-en-una-celda
2014-03-27-la-funcion-si-anidada-ejemplo-de-uso-en-la-vida-real,'La función SI anidada: Ejemplo de uso en la vida real',automatizacion-con-excel/explicando-funcion-si-anidada
2014-03-27-mueve-el-texto-de-ayuda-de-tus-formulas-con-el-raton-cr,"'Mueve el texto de ayuda de tus fórmulas, con el ratón. [CR]'",automatizacion-con-excel/texto-de-ayuda
2014-03-31-la-funcion-sumar-si,'La función SUMAR.SI',automatizacion-con-excel/sumar.si
2014-04-02-como-sumar-celdas-visibles-en-excel-usando-macros,"'¿Cómo Sumar Celdas Visibles en Excel, usando Macros?'",automatizacion-con-excel/sumar-celdas-visibles
2014-04-05-curso-de-excel-en-video-sin-riesgos,"'¿Dónde tomar un Curso de Excel en vídeo, sin riesgos?'",automatizacion-con-excel/donde-tomar-curso-de-excel
2014-04-07-como-asignar-una-macro-de-excel-a-un-boton,'Cómo asignar una Macro de Excel a un botón.',automatizacion-con-excel/asignar-macro-a-boton
2014-04-08-la-funcion-car,'La función CAR.',automatizacion-con-excel/funcion-car
2014-04-09-agenda-en-excel-1,'Aprende Haciendo: Agenda en Excel que te recuerda los eventos pendientes (1 de 2)',automatizacion-con-excel/agenda-en-excel-1-de-2
2014-04-10-como-hacer-una-cuadricula-en-excel,'¿Cómo hacer una cuadrícula en Excel?',automatizacion-con-excel/como-hacer-una-cuadricula-en-excel
2014-04-11-como-calcular-el-tercio-de-un-rango-de-fechas,'¿Cómo calcular el tercio de un rango de fechas?',automatizacion-con-excel/tercio-de-un-rango-de-fechas
2014-04-14-la-cinta-de-opciones-de-excel-2010,'La Cinta de Opciones de Excel 2010',automatizacion-con-excel/la-cinta-de-opciones-de-excel
2014-04-15-como-encontrar-las-celdas-que-no-tienen-formula,'¿Cómo encontrar las celdas que no tienen fórmula?',automatizacion-con-excel/celdas-que-no-tienen-formula
2014-04-16-casilla-de-verificacion-usando-solo-texto,"'¿Mostrar una casilla de verificación, usando texto?'",automatizacion-con-excel/casilla-de-verificacion
2014-04-17-la-barra-de-formulas,'La Barra de Fórmulas en Excel',automatizacion-con-excel/barra-de-formulas
2014-04-18-diferencia-de-fechas-en-excel,'Diferencia de fechas en Excel: mostrar como texto',automatizacion-con-excel/diferencia-de-fechas-en-excel
2014-04-21-crea-tu-propio-grafico-dinamico-en-excel,'Crea tu propio Gráfico Dinámico en Excel.',automatizacion-con-excel/grafico-dinamico-en-excel
2014-04-22-la-tecla-control-en-excel,'3 razones para usar la Tecla Control en Excel.',automatizacion-con-excel/la-tecla-control
2014-04-23-agenda-en-excel-2,'Aprende Haciendo: Agenda en Excel que te recuerda los eventos pendientes (2 de 2)',automatizacion-con-excel/agenda-en-excel-2-de-2
2014-05-01-atajos-de-teclado-descarga,'Los Atajos de Teclado para Excel más interesantes.',automatizacion-con-excel/atajos-de-teclado-excel
2014-05-03-la-funcion-repetir-en-excel,'La función Repetir en Excel: ¿Cómo usarla?',automatizacion-con-excel/funcion-repetir
2014-05-05-la-funcion-derecha,'La función DERECHA',automatizacion-con-excel/funcion-derecha
2014-05-11-macro-al-abrir-excel,'Ejecutar una Macro al abrir Excel',automatizacion-con-excel/macro-al-abrir-excel
2014-05-14-que-son-las-fichas-contextuales-en-excel,'¿Qué son las Fichas Contextuales en Excel?',automatizacion-con-excel/fichas-contextuales
2014-05-24-como-resaltar-una-fecha-de-vencimiento-en-excel,'Cómo resaltar una fecha de vencimiento en Excel.',automatizacion-con-excel/resaltar-una-fecha-de-vencimiento
2014-06-01-7-atajos-de-raton-que-deberias-conocer,'7 Atajos de Ratón para Excel que deberías conocer',automatizacion-con-excel/atajos-de-raton
2014-07-09-como-bloquear-ciertas-celdas-en-excel-si-no-se-han-llenado-otras,"'Cómo bloquear ciertas celdas en Excel, si no se han llenado otras.'",automatizacion-con-excel/bloquear-ciertas-celdas-en-excel
2014-07-15-forzar-la-escritura-en-mayusculas-usando-vba,"'Cómo forzar la escritura en mayúsculas, usando VBA'",automatizacion-con-excel/forzar-mayusculas-con-vba
2014-07-17-como-forzar-la-escritura-en-mayusculas-usando-formulas,"'Cómo forzar la escritura en mayúsculas, usando fórmulas'",automatizacion-con-excel/forzar-mayusculas-con-formulas
2014-07-22-como-convertir-un-texto-a-fecha,"'Cómo convertir un texto a fecha, desde el formato AAAAMMDD (año, mes día)'",automatizacion-con-excel/convertir-un-texto-a-fecha
2014-07-24-calcular-el-iva-incluido-y-el-porcentaje-de-una-cantidad,'Calcular el IVA incluido y el porcentaje de una cantidad',automatizacion-con-excel/calcular-el-iva-incluido
2014-07-31-como-concatenar-un-rango-sin-usar-macros,"'Cómo concatenar un rango, sin usar macros.'",automatizacion-con-excel/sin-usar-macros
2014-08-15-concatenar-un-rango-sin-usar-macros-video,'Cómo concatenar un rango sin usar macros (video)',automatizacion-con-excel/concatenar-un-rango-sin-usar-macros
2014-08-16-como-crear-una-linea-de-meta-en-tu-grafico-sin-alterar-la-tabla,'Cómo crear una línea de meta en tu gráfico sin alterar la tabla',automatizacion-con-excel/crear-una-linea-de-meta
2014-08-19-la-funcion-transponer,'La Función Transponer',automatizacion-con-excel/funcion-transponer
2014-08-21-como-crear-una-celda-intermitente-en-excel,'Cómo crear una celda intermitente en Excel (Desafío)',automatizacion-con-excel/crear-una-celda-intermitente
2014-08-26-10-consejos-para-usar-macros-en-excel,'10 consejos para usar macros en Excel',automatizacion-con-excel/usar-macros-en-excel
2014-08-28-como-insertar-imagenes-en-los-comentarios-de-excel,'Cómo insertar imágenes en los comentarios de Excel',automatizacion-con-excel/insertar-imagenes-en-comentarios
2014-09-09-como-agregar-una-macro-la-barra-de-herramientas-acceso-rapido,'Cómo agregar una macro a la barra de herramientas de acceso rápido en Excel',automatizacion-con-excel/agregar-a-barra-herramientas
2014-09-16-como-generar-datos-aleatorios-y-que-sumen-exactamente-100,'Cómo generar datos aleatorios (y que sumen exactamente 100%)',automatizacion-con-excel/generar-datos-aleatorios
2014-09-18-la-barra-de-herramientas-de-acceso-rapido,'La Barra de Herramientas de Acceso Rápido',automatizacion-con-excel/barra-herramientas-de-acceso-rapido
2014-09-22-como-insertar-automaticamente-los-meses-del-ano-en-excel,'Cómo insertar automáticamente los meses del año en Excel (VÍDEO)',automatizacion-con-excel/insertar-meses-en-excel
2014-09-24-la-funcion-coincidir,'La función COINCIDIR | Diccionario de Funciones',automatizacion-con-excel/la-funcion-coincidir
2014-09-26-7-paginas-en-facebook-que-hablan-sobre-excel,'7 Páginas en Facebook que hablan sobre Excel (y en español)',automatizacion-con-excel/paginas-facebook-excel
2014-09-30-el-entorno-de-trabajo-en-excel-2013-video,'El entorno de trabajo en Excel 2013 (Vídeo)',automatizacion-con-excel/entorno-de-trabajo-en-excel
2014-10-01-7-elementos-basicos-de-una-formula-de-excel,"'7 elementos básicos de una fórmula, que tú debes conocer.'",automatizacion-con-excel/elementos-basicos-de-una-formula
2014-10-03-la-funcion-repetir,'La función REPETIR',automatizacion-con-excel/la-funcion-repetir
2014-10-06-como-rellenar-un-texto-o-como-forzar-una-longitud-fija-en-excel-video,'Cómo rellenar un texto o cómo forzar una longitud fija en Excel (Vídeo)',automatizacion-con-excel/como-rellenar-un-texto
2014-10-08-convertir-numeros-almacenados-como-texto-rapidamente,"'Convertir números almacenados como texto, rápidamente.'",automatizacion-con-excel/numeros-almacenados-como-texto
2014-10-10-la-funcion-num-de-semana,'La función NUM.DE.SEMANA',automatizacion-con-excel/funcion-num.de.semana
2014-10-13-crear-un-libro-de-trabajo-a-pantalla-completa,'Cómo crear un libro de trabajo a pantalla completa (Vídeo)',automatizacion-con-excel/excel-pantalla-completa
2014-10-15-como-convertir-decimales-a-horas-y-minutos-en-excel,'Cómo convertir Decimales a Horas y Minutos en Excel',automatizacion-con-excel/convertir-decimales-a-horas-y-minutos
2014-10-17-como-generar-numeros-aleatorios-con-decimales,"'Cómo generar números aleatorios con decimales y dentro de un intervalo, en Excel (Consejo Rápido)'",automatizacion-con-excel/generar-numeros-aleatorios-decimales
2015-01-19-como-imprimir-todo-en-una-pagina-con-excel,'Cómo imprimir todo en una página con Excel',automatizacion-con-excel/imprimir-todo-en-excel
2015-02-11-como-esconder-tus-macros-en-excel-para-que-no-se-vean-desde-la-hoja,"'Cómo esconder tus macros en Excel, para que no se vean desde la hoja.'",automatizacion-con-excel/esconder-tus-macros
2015-02-21-como-nombrar-una-celda-o-un-rango-de-celdas-en-excel,'Cómo nombrar una celda o un rango de celdas en Excel.',automatizacion-con-excel/nombrar-una-celda
2015-04-29-los-5-errores-que-estas-cometiendo-al-hacer-un-grafico-en-excel,'Los 5 errores que estás cometiendo al hacer un gráfico en Excel',automatizacion-con-excel/5-errores-grafico-en-excel
2015-05-01-lo-que-estas-perdiendo-por-no-aprender-a-usar-excel,"'Lo que estás perdiendo, por no aprender a usar Excel'",automatizacion-con-excel/aprender-a-usar-excel
2015-05-04-formula-de-excel-y-funcion-de-excel,'¿Cuál es la diferencia entre una Fórmula de Excel y una Función de Excel?',automatizacion-con-excel/formula-de-excel
2015-05-07-aprender-excel-por-que-se-te-esta-haciendo-dificil,'Aprender Excel ¿Por qué se te está haciendo difícil?',automatizacion-con-excel/aprender-excel
2015-05-13-ya-somos-5000-aprendices,'¿Sabías que ya somos 5.000 aprendices de Excel?',automatizacion-con-excel/ya-somos-5000
2015-05-21-formacion-profesional-excel,"'¿Por qué invertir en formación profesional en Excel, cuando hay tantos blogs que tratan sobre el tema y gratis? Con Elio Reyes'",automatizacion-con-excel/formacion-profesional-en-excel
2015-05-25-como-resaltar-numeros-negativos-en-excel,'Cómo resaltar números negativos en Excel (Vídeo-Cápsulas)',automatizacion-con-excel/resaltar-numeros-negativos-en-excel
2015-05-30-las-funciones-de-busqueda-en-excel-buscarv-indice-y-coincidir,"'Las Funciones de Búsqueda en Excel: BUSCARV, INDICE y COINCIDIR'",automatizacion-con-excel/funciones-de-busqueda-en-excel
2015-08-03-como-elegir-el-grafico-mas-adecuado-para-tu-informe,'Cómo elegir el gráfico más adecuado para tu informe',automatizacion-con-excel/como-elegir-el-grafico-mas-adecuado
2015-08-05-10-formas-de-aprovechar-las-macros-en-excel,'10 formas de aprovechar las macros en Excel',automatizacion-con-excel/macros-en-excel-10-usos
2015-10-07-vivir-de-excel-una-posibilidad-real-entrevista-realizada-por-enrique-arranz,'Vivir de Excel: Una posibilidad real. (Entrevista realizada por Enrique Arranz)',automatizacion-con-excel/vivir-de-excel
2015-10-27-como-ejecutar-una-macro-de-excel-n-veces,'Cómo ejecutar una macro de Excel N veces o cómo repetir una macro varias veces sin tener que hacerlo una por una.',automatizacion-con-excel/ejecutar-una-macro
2015-10-28-como-editar-un-nombre-de-rango-en-excel,'Cómo editar un nombre de rango en Excel para mantener tus archivos con fórmulas actualizados en todo momento.',automatizacion-con-excel/editar-un-nombre-de-rango-en-excel
